,playerID,yearID,stint,G,AB,R,H,Doubles,Triples,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,OBP,SLG,SalYear,teamID,lgID,salary,lnSal,debutyr,Exp,Arb,Free,POS,Catch,Infld
4399,lopezja01,2001,1,128,438,45,117,16,1,17,66.0,1.0,0.0,28,82.0,3.0,10.0,1.0,5.0,12.0,482.0,0.32224532224532226,0.4246575342465753,2002,ATL,NL,6000000,15.60727002719233,1992,9,0,1,C,1,0
4400,lopezja01,2002,1,109,347,31,81,15,0,11,52.0,0.0,1.0,26,63.0,8.0,8.0,0.0,4.0,15.0,385.0,0.2987012987012987,0.37175792507204614,2003,ATL,NL,7000000,15.761420707019587,1992,10,0,1,C,1,0
4401,lopezja01,2003,1,129,457,89,150,29,3,43,109.0,0.0,1.0,33,90.0,5.0,4.0,0.0,1.0,10.0,495.0,0.37777777777777777,0.687089715536105,2004,BAL,AL,6000000,15.60727002719233,1992,11,0,1,C,1,0
4402,lopezja01,2004,1,150,579,83,183,33,3,23,86.0,0.0,0.0,47,97.0,4.0,6.0,0.0,6.0,16.0,638.0,0.36990595611285265,0.5025906735751295,2005,BAL,AL,7500000,15.830413578506539,1992,12,0,1,C,1,0
4403,lopezja01,2005,1,103,395,47,110,24,1,15,49.0,0.0,1.0,19,68.0,2.0,7.0,0.0,2.0,10.0,423.0,0.3215130023640662,0.4582278481012658,2006,BAL,AL,9000000,16.012735135300492,1992,13,0,1,C,1,0
4404,lopezjo01,2005,1,54,190,18,47,19,0,2,25.0,4.0,2.0,6,25.0,0.0,4.0,1.0,2.0,5.0,203.0,0.28217821782178215,0.37894736842105264,2006,SEA,AL,335000,12.721885810807203,2004,1,0,0,2B,0,1
4405,lopezjo01,2006,1,151,603,78,170,28,8,10,79.0,5.0,2.0,26,80.0,1.0,9.0,12.0,5.0,17.0,655.0,0.3188180404354588,0.4046434494195688,2007,SEA,AL,420000,12.948009990259552,2004,2,0,0,2B,0,1
4406,lopezjo01,2007,1,149,524,58,132,17,2,11,62.0,2.0,3.0,20,64.0,0.0,5.0,9.0,3.0,16.0,561.0,0.28442028985507245,0.3549618320610687,2008,SEA,AL,1750000,14.375126345899696,2004,3,1,0,2B,0,1
4407,lopezjo01,2008,1,159,644,80,191,41,1,17,89.0,6.0,3.0,27,67.0,5.0,1.0,6.0,9.0,14.0,687.0,0.32158590308370044,0.44254658385093165,2009,SEA,AL,2250000,14.626440774180603,2004,4,1,0,2B,0,1
4408,lopezjo01,2009,1,153,613,69,167,42,0,25,96.0,3.0,3.0,24,69.0,5.0,6.0,3.0,7.0,25.0,653.0,0.3030769230769231,0.4632952691680261,2010,SEA,AL,3000000,14.914122846632385,2004,5,1,0,2B,0,1
4409,lopezjo01,2010,1,150,593,49,142,29,0,10,58.0,3.0,2.0,23,66.0,1.0,3.0,0.0,3.0,20.0,622.0,0.27009646302250806,0.33895446880269814,2011,COL,NL,3600000,15.096444403426338,2004,6,1,0,3B,0,1
4410,lopezjo01,2011,3,82,231,23,50,12,0,8,21.0,2.0,0.0,7,28.0,1.0,2.0,1.0,1.0,6.0,242.0,0.24481327800829875,0.3722943722943723,2012,CLE,AL,800000,13.592367006650065,2004,7,0,1,3B,0,1
4411,lopezlu02,1994,1,77,235,29,65,16,1,2,20.0,3.0,2.0,15,39.0,2.0,3.0,2.0,2.0,7.0,257.0,0.3254901960784314,0.37872340425531914,1995,SDN,NL,145000,11.884489021402711,1993,1,0,0,SS,0,1
4412,lopezlu02,1997,1,78,178,19,48,12,1,1,19.0,2.0,4.0,12,42.0,2.0,4.0,2.0,0.0,2.0,196.0,0.32989690721649484,0.3651685393258427,1998,NYN,NL,375000,12.834681304952548,1993,4,1,0,SS,0,1
4413,lopezlu02,1998,1,117,266,37,67,13,2,2,22.0,2.0,2.0,20,60.0,3.0,4.0,3.0,2.0,10.0,295.0,0.3116438356164384,0.3383458646616541,1999,NYN,NL,575000,13.262125319779487,1993,5,1,0,2B,0,1
4414,lopezlu02,2000,1,78,201,24,53,14,0,6,27.0,1.0,2.0,9,35.0,1.0,5.0,8.0,2.0,2.0,225.0,0.3087557603686636,0.4228855721393035,2001,MIL,NL,700000,13.458835614025542,1993,7,0,1,SS,0,1
4415,lopezlu02,2001,1,92,222,22,60,8,3,4,18.0,0.0,1.0,14,44.0,2.0,5.0,5.0,1.0,6.0,247.0,0.32644628099173556,0.38738738738738737,2002,MIL,NL,700000,13.458835614025542,1993,8,0,1,3B,0,1
4416,loretma01,1996,1,73,154,20,43,3,0,1,13.0,2.0,1.0,14,15.0,0.0,0.0,2.0,0.0,7.0,170.0,0.3392857142857143,0.3181818181818182,1997,ML4,AL,167500,12.028738630247258,1995,1,0,0,2B,0,1
4417,loretma01,1997,1,132,418,56,120,17,5,5,47.0,5.0,5.0,47,60.0,2.0,2.0,5.0,10.0,15.0,482.0,0.35429769392033544,0.3875598086124402,1998,MIL,NL,275000,12.524526376648708,1995,2,0,0,2B,0,1
4418,loretma01,1998,1,140,434,55,137,29,0,6,54.0,9.0,6.0,42,47.0,1.0,7.0,4.0,4.0,14.0,491.0,0.38193018480492813,0.423963133640553,1999,MIL,NL,1495000,14.217636764806924,1995,3,1,0,1B,0,0
4419,loretma01,1999,1,153,587,93,170,34,5,5,67.0,4.0,1.0,52,59.0,1.0,10.0,9.0,6.0,14.0,664.0,0.35419847328244275,0.3901192504258944,2000,MIL,NL,2500000,14.73180128983843,1995,4,1,0,SS,0,1
4420,loretma01,2000,1,91,352,49,99,21,1,7,40.0,0.0,3.0,37,38.0,2.0,1.0,8.0,1.0,9.0,399.0,0.35038363171355497,0.40625,2001,MIL,NL,3500000,15.068273526459642,1995,5,1,0,SS,0,1
4421,loretma01,2001,1,102,384,40,111,14,2,2,29.0,1.0,2.0,28,46.0,0.0,7.0,7.0,3.0,6.0,429.0,0.3459715639810427,0.3515625,2002,MIL,NL,5000000,15.424948470398375,1995,6,1,0,2B,0,1
4422,loretma01,2002,3,107,283,33,86,18,0,4,27.0,1.0,1.0,32,37.0,1.0,5.0,6.0,3.0,7.0,329.0,0.38080495356037153,0.4098939929328622,2003,SDN,NL,1250000,14.038654109278484,1995,7,0,1,3B,0,1
4423,loretma01,2003,1,154,589,74,185,28,4,13,72.0,5.0,4.0,54,62.0,2.0,3.0,3.0,4.0,17.0,653.0,0.3723076923076923,0.44142614601018676,2004,SDN,NL,2500000,14.73180128983843,1995,8,0,1,2B,0,1
4424,loretma01,2004,1,154,620,108,208,47,2,16,76.0,5.0,3.0,58,45.0,3.0,9.0,4.0,16.0,10.0,707.0,0.3911806543385491,0.49516129032258066,2005,SDN,NL,2750000,14.827111469642754,1995,9,0,1,2B,0,1
4425,loretma01,2005,1,105,404,54,113,16,1,3,38.0,8.0,4.0,45,34.0,4.0,8.0,2.0,4.0,11.0,463.0,0.3600867678958785,0.3465346534653465,2006,BOS,AL,3250000,14.994165554305921,1995,10,0,1,2B,0,1
4426,loretma01,2006,1,155,635,75,181,33,0,5,59.0,4.0,1.0,49,63.0,1.0,12.0,2.0,5.0,16.0,703.0,0.34522111269614836,0.3606299212598425,2007,HOU,NL,2500000,14.73180128983843,1995,11,0,1,2B,0,1
4427,loretma01,2007,1,133,460,52,132,23,2,4,41.0,1.0,2.0,44,41.0,0.0,3.0,3.0,1.0,15.0,511.0,0.35236220472440943,0.3717391304347826,2008,HOU,NL,2750000,14.827111469642754,1995,12,0,1,SS,0,1
4428,loretma01,2008,1,101,261,27,73,15,0,4,38.0,0.0,0.0,29,30.0,1.0,2.0,0.0,5.0,9.0,297.0,0.3501683501683502,0.3831417624521073,2009,LAN,NL,1250000,14.038654109278484,1995,13,0,1,2B,0,1
4429,loughda01,2013,1,96,315,35,90,17,4,5,33.0,5.0,2.0,10,52.0,0.0,3.0,4.0,3.0,3.0,335.0,0.311178247734139,0.4126984126984127,2014,BAL,AL,510500,13.143145916586857,2012,1,0,0,OF,0,0
4430,loughda01,2014,1,112,174,31,43,6,3,4,16.0,8.0,5.0,15,33.0,0.0,1.0,6.0,1.0,3.0,197.0,0.3089005235602094,0.3850574712643678,2015,BAL,AL,525500,13.172105469299144,2012,2,0,0,OF,0,0
4431,lovulto01,1993,1,116,367,42,92,20,0,6,30.0,7.0,6.0,36,49.0,1.0,1.0,3.0,2.0,8.0,409.0,0.31773399014778325,0.3542234332425068,1994,SEA,AL,165000,12.013700752882718,1988,5,1,0,2B,0,1
