assists,gameWinningGoals,games,gamesStarted,goalAgainstAverage,goals,goalsAgainst,overTimeGoals,plusMinus,points,powerPlayGoals,powerPlayPoints,savePercentage,saves,shortHandedGoals,shortHandedPoints,shots,shotsAgainst,wins,blocked,evenSaves,evenShots,evenStrengthSavePercentage,faceOffPct,hits,powerPlaySavePercentage,powerPlaySaves,powerPlayShots,shortHandedSavePercentage,shortHandedSaves,shortHandedShots,position_code_C,position_code_D,position_code_G,position_code_L,position_code_R,timeOnIce,timeOnIcePerGame,evenTimeOnIce,evenTimeOnIcePerGame,powerPlayTimeOnIce,powerPlayTimeOnIcePerGame,shortHandedTimeOnIce,shortHandedTimeOnIcePerGame,normalized_vote_pct
4.0,0.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,23325,388,23167,386,146,2,12,0,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1476,738,1013,506,440,220,23,11,0.0
16.0,0.0,62.0,0.0,0.0,3.0,0.0,0.0,-12.0,19.0,0.0,5.0,0.0,0.0,0.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,65630,1058,56613,913,2548,41,6469,104,0.0
21.0,2.0,79.0,0.0,0.0,17.0,0.0,0.0,1.0,38.0,4.0,6.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,45.07,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,72533,918,61453,777,10740,135,340,4,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,403,201,402,201,0,0,1,0,0.0
25.0,3.0,71.0,0.0,0.0,13.0,0.0,1.0,-4.0,38.0,2.0,9.0,0.0,0.0,0.0,1.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,60505,852,51262,722,6989,98,2254,31,0.0
30.0,6.0,78.0,0.0,0.0,30.0,0.0,0.0,10.0,60.0,9.0,18.0,0.0,0.0,1.0,4.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,78662,1008,60794,779,15803,202,2065,26,0.0
2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,10566,621,10234,602,102,6,230,13,0.0
10.0,1.0,82.0,0.0,0.0,8.0,0.0,0.0,-11.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,63434,773,47162,575,251,3,16021,195,0.0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,800,400,702,351,98,49,0,0,0.0
