Player,H_ymax,HR_ymax,R_ymax,RBI_ymax,BA_ymax,RAR,WAR,oWAR,WAR_best_7,WAR_7,oWAR_7,oWAR_best_7,RAR_best_7,RAR_max,AS,MVP,Rfield,OPS,ten,HOF
eisenji01,0,0,0,0,1,141,13.200000000000001,13.1,14.6,11.5,11.2,13.8,149,31,0,0,3,0.7454831876244478,1,0
elberki01,0,0,0,0,0,316,33.5,34.300000000000004,26.0,25.0,24.3,25.5,244,46,0,0,-7,0.6527825064864267,1,0
ellerfr01,0,0,0,0,0,2,0.4,-0.09999999999999987,0.4,0.4,-0.09999999999999987,-0.09999999999999987,2,6,0,0,4,0.6288289983766857,0,0
ellicjo01,0,0,0,0,0,-5,-0.5,-0.30000000000000004,-0.5,-0.5,-0.30000000000000004,-0.30000000000000004,-5,-1,0,0,-2,0.2217741935483871,0,0
elliobo01,0,0,0,0,0,505,50.70000000000001,51.70000000000001,34.9,31.9,31.800000000000004,36.0,347,65,6,4,-4,0.8088076946551734,1,0
elliola01,0,0,0,0,0,10,1.0,1.9000000000000001,1.0,1.0,1.9000000000000001,1.9000000000000001,10,9,0,0,-9,0.7095398827500444,0,0
ellisja01,0,0,0,0,0,-8,-1.0,-1.4000000000000001,-1.0,-1.0,-1.4000000000000001,-1.4000000000000001,-8,-1,0,0,5,0.6287170209558269,0,0
ellisjo01,0,0,0,0,0,35,3.0,6.000000000000001,5.5,4.8,6.2,6.900000000000001,55,19,0,0,-27,0.7003611494515303,1,0
ellisma01,0,0,0,0,1,339,33.6,19.7,25.7,23.6,15.0,17.2,258,49,0,0,134,0.6970743625357528,1,0
ellisru01,0,0,0,0,0,40,3.8,4.4,3.8,3.8,4.4,4.4,40,22,0,0,-4,0.6660581284402043,0,0
elshro01,0,0,0,0,0,-10,-1.0,-0.7,-1.0,-1.0,-0.7,-0.7,-10,0,0,0,-3,0.6251105021216408,0,0
elsteke01,0,0,0,0,0,65,6.2,6.8999999999999995,7.1,4.7,3.7,7.4,72,23,0,0,-14,0.6725451811876955,1,0
elybo01,0,0,0,0,0,66,7.500000000000001,3.4000000000000004,9.4,8.8,4.8999999999999995,6.5,93,25,0,0,51,0.6120945388785386,1,0
encarju01,0,0,0,0,0,98,8.6,11.500000000000002,8.799999999999999,6.9,8.8,10.0,97,22,0,0,-26,0.7480653552096272,1,0
englecl01,0,0,0,0,0,86,9.0,8.9,9.0,9.0,8.9,8.9,86,33,0,0,1,0.6583062411060734,0,0
engleda01,0,0,0,0,0,40,3.7,3.4,3.9,3.9000000000000004,3.5,4.1000000000000005,42,18,1,0,7,0.6996134946752358,0,0
engligi01,0,0,0,0,0,5,0.30000000000000004,0.3999999999999999,0.30000000000000004,0.30000000000000004,0.3999999999999999,0.3999999999999999,5,11,0,0,0,0.6180944032244946,0,0
engliwo01,1,0,1,0,0,267,26.1,22.200000000000003,22.5,22.5,18.7,19.000000000000004,230,62,2,0,46,0.7298663129000771,1,0
ennisde01,0,0,0,0,0,317,30.000000000000004,35.4,28.299999999999997,25.3,25.2,28.499999999999996,285,55,3,6,-33,0.8083309113682126,1,0
ensbemo01,0,0,0,0,0,143,13.9,12.2,14.8,14.8,12.600000000000001,12.599999999999998,152,63,1,1,16,0.8229515359279425,0,0
epstemi01,0,0,0,0,0,127,12.7,17.900000000000002,13.0,12.7,17.8,17.8,127,46,0,2,-38,0.7626330296659659,0,0
erstada01,1,0,0,0,1,338,32.2,18.200000000000003,28.6,26.7,15.6,18.700000000000003,298,89,2,2,146,0.7367130566571981,1,0
erwinte01,0,0,0,0,0,17,1.5000000000000002,3.0000000000000004,1.5000000000000002,1.5000000000000002,3.0000000000000004,3.0000000000000004,17,21,0,0,-12,0.6477960214377804,0,0
esaskni01,0,0,0,0,0,87,8.3,10.5,9.400000000000002,8.9,10.8,10.8,95,38,0,1,-22,0.7716806067478582,0,0
escobal01,0,0,0,0,0,16,1.6,1.4,1.6,1.6,1.4,1.4,16,10,0,0,1,0.7398332462349755,0,0
esmonji01,0,0,0,0,0,-14,-1.5,0.30000000000000004,-1.5,-1.5,0.30000000000000004,0.30000000000000004,-14,0,0,0,-16,0.591025641025641,0,0
espinal01,0,0,0,0,0,43,3.7999999999999994,1.0000000000000004,5.2,4.8999999999999995,2.2,3.3,56,17,0,0,33,0.5976291707548561,1,0
espossa01,0,0,0,0,0,22,1.9,0.8,3.4999999999999996,2.9,1.1,1.7,36,18,0,0,10,0.5977209727209727,1,0
espyce01,0,0,0,0,0,19,1.6000000000000003,0.8,2.3000000000000003,1.6,1.0,1.5000000000000002,24,16,0,0,9,0.6172400932400932,0,0
essegch01,0,0,0,0,0,24,1.5999999999999996,3.1999999999999997,1.5999999999999996,1.5999999999999996,3.1999999999999997,3.1999999999999997,24,25,0,0,-13,0.7616223624624139,0,0
essiaji01,0,0,0,0,0,106,10.899999999999999,8.9,11.099999999999998,9.5,7.800000000000001,8.8,108,33,0,0,19,0.6685376593987951,1,0
estalbo01,0,0,0,0,0,127,12.899999999999999,13.899999999999999,13.200000000000001,13.2,14.2,14.199999999999998,130,35,0,1,-10,0.796904886106764,0,0
estalbo02,0,0,0,0,0,30,2.6,3.9999999999999996,4.0,2.3,3.6,4.3999999999999995,43,23,0,0,-13,0.7518666372529887,0,0
esterdu01,0,0,0,0,0,41,3.9,4.199999999999999,3.9,3.9,4.2,4.199999999999999,41,19,0,0,5,0.5865130444776463,0,0
estrajo01,0,0,0,0,0,11,0.4,2.4999999999999996,1.5000000000000002,1.1999999999999997,3.3,3.3,21,21,1,1,-21,0.7058430498466567,0,0
etchean01,0,0,0,0,0,110,10.700000000000001,9.8,9.1,8.2,7.2,7.8999999999999995,90,18,2,1,15,0.637996742436254,1,0
ettenni01,0,0,0,0,0,152,15.6,19.3,15.899999999999999,15.9,19.2,19.200000000000003,155,45,0,3,-32,0.7879415344272168,0,0
eusebto01,0,0,0,0,0,52,4.5,5.0,4.499999999999999,4.5,4.7,4.8,51,20,0,0,-5,0.7238760931824915,0,0
evansal01,0,0,0,0,0,36,3.499999999999999,3.5000000000000004,4.5,3.3,3.5,5.0,45,14,0,0,-2,0.6518766469774071,1,0
evansba01,0,0,0,0,0,2,-0.10000000000000009,0.4,-0.10000000000000009,-0.10000000000000009,0.4,0.4,2,3,0,0,-4,0.6124665369804856,0,0
evansda01,0,2,1,0,0,587,58.79999999999999,54.400000000000006,37.3,28.599999999999998,24.200000000000003,31.799999999999997,366,87,2,4,36,0.7903859978545573,1,0
evansdw01,0,0,2,0,0,663,67.2,60.49999999999999,37.300000000000004,33.0,33.5,36.2,367,65,3,4,65,0.8359161872595724,1,0
evansja01,0,0,0,0,0,17,1.6,0.0,1.6,1.6,0.0,0.0,17,13,0,0,23,0.5636634626205845,0,0
evansjo01,0,0,0,0,0,37,3.2,3.1999999999999993,4.800000000000001,3.6,3.5999999999999996,5.000000000000001,50,15,0,0,0,0.6417578096299539,1,0
evansni01,0,0,0,0,0,16,1.5999999999999999,0.5,1.5999999999999999,1.5999999999999999,0.5,0.5,16,11,0,0,10,0.7227706150953532,0,0
evansst01,0,0,0,0,0,83,8.4,9.8,8.4,8.4,9.8,9.8,83,31,0,0,-10,0.6899100277036576,0,0
everead01,0,0,0,0,0,133,12.7,0.8000000000000003,13.899999999999997,13.9,1.7999999999999998,1.9999999999999998,144,36,0,0,117,0.6223446178559129,1,0
evereca01,0,0,0,0,0,220,20.5,20.8,21.299999999999997,18.900000000000002,20.5,20.8,224,62,2,1,1,0.787806675299058,1,0
everibi01,1,0,1,0,0,95,9.500000000000002,11.500000000000002,9.500000000000002,9.5,11.5,11.500000000000002,95,28,0,0,-21,0.7457566716915915,0,0
eversho01,0,0,0,0,1,136,12.8,11.299999999999999,14.799999999999999,13.6,12.0,13.300000000000002,151,48,2,2,14,0.7669030800427098,1,0
ezzelho01,0,0,0,0,0,-1,2.7755575615628914e-17,-0.30000000000000004,2.7755575615628914e-17,2.7755575615628914e-17,-0.30000000000000004,-0.30000000000000004,-1,4,0,0,3,0.6087849684662288,0,0
faatzja01,0,0,0,0,0,-2,-0.1,-0.6,-0.1,-0.1,-0.6,-0.6,-2,-2,0,0,8,0.5478489903424056,0,0
fabrejo01,0,0,0,0,0,-19,-2.2,-3.4,-0.5,-0.5,-1.8,-1.5,-3,3,0,0,12,0.5968538887764206,0,0
faedole01,0,0,0,0,0,0,-0.19999999999999998,0.6000000000000001,-0.19999999999999998,-0.19999999999999998,0.6000000000000001,0.6000000000000001,0,5,0,0,-7,0.5973299097951605,0,0
faheybi01,0,0,0,0,0,24,2.3,1.6999999999999995,3.2,2.9,2.3,2.6,32,13,0,0,3,0.5872105290646055,1,0
fainfe01,1,0,0,0,2,270,27.400000000000002,25.599999999999998,24.199999999999996,24.2,22.6,22.599999999999998,240,46,5,2,14,0.8131229537115989,0,0
