,Player,Player_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
109,cedence01,César Cedeño,0.0,0.02,0.43,0.395,0.395,0.395,0.45,0.465,0.465,0.47,0.445,0.445,0.44,0.44,0.44,0.44,0.44,,,,,,,,
110,cepedor01,Orlando Cepeda,0.0,0.185,0.4,0.4,0.415,0.405,0.445,0.445,0.445,0.465,0.465,0.47,0.47,0.47,0.475,0.47,0.47,,,,,,,,
111,ceyro01,Ron Cey,0.0,0.035,0.295,0.425,0.44,0.435,0.435,0.435,0.46,0.46,0.46,0.46,0.455,0.455,0.45,0.46,,,,,,,,,
112,chambch01,Chris Chambliss,0.0,0.0,0.025,0.12,0.2,0.39,0.39,0.405,0.405,0.405,0.405,0.42,0.405,0.395,0.395,0.395,,,,,,,,,
113,chancfr01,Frank Chance,0.0,0.0,0.01,0.12,0.14,0.41,0.39,0.4,0.42,0.43,0.44,0.455,0.455,0.455,0.455,0.455,,,,,,,,,
114,chapmbe01,Ben Chapman,0.0,0.3,0.405,0.41,0.425,0.415,0.415,0.44,0.44,0.44,0.44,0.44,0.44,0.44,,,,,,,,,,,
115,chapmra01,Ray Chapman,0.0,0.01,0.13,0.385,0.385,0.405,0.405,0.415,0.415,,,,,,,,,,,,,,,,
116,chaveer01,Eric Chávez,0.0,0.0,0.12,0.405,0.395,0.395,0.41,0.415,0.415,0.43,0.43,0.415,0.415,0.43,0.43,0.415,0.415,,,,,,,,
117,childcu01,Cupid Childs,0.0,0.04,0.43,0.42,0.42,0.41,0.42,0.43,0.455,0.455,0.455,0.455,,,,,,,,,,,,,
118,choosh01,Shin-Soo Choo,0.0,0.0,0.0,0.13,0.4,0.395,0.395,0.39,0.39,0.4,0.435,0.435,0.44,0.46,0.505,0.505,,,,,,,,,
119,cirilje01,Jeff Cirillo,0.0,0.0,0.215,0.41,0.43,0.43,0.43,0.43,0.43,0.43,0.44,0.44,0.43,0.43,,,,,,,,,,,
120,clarkfr01,Fred Clarke,0.18,0.29,0.41,0.405,0.415,0.41,0.41,0.42,0.435,0.44,0.445,0.445,0.445,0.435,,,,,,,,,,,
121,clarkja01,Jack Clark,0.0,0.0,0.0,0.31,0.4,0.4,0.4,0.41,0.41,0.415,0.415,0.405,0.445,0.445,0.445,0.45,0.45,0.45,,,,,,,
122,clarkwi02,Will Clark,0.0,0.155,0.405,0.405,0.395,0.41,0.46,0.455,0.47,0.47,0.475,0.475,0.475,0.485,0.485,,,,,,,,,,
123,clemeja01,Jack Clements,0.0,0.005,0.0,0.0,0.0,0.085,0.25,0.395,0.395,0.395,0.395,0.41,0.41,0.41,0.4,0.4,0.4,,,,,,,,
124,clemero01,Roberto Clemente,0.0,0.0,0.065,0.25,0.39,0.39,0.43,0.43,0.43,0.445,0.505,0.54,0.585,0.625,0.63,0.63,0.63,0.63,,,,,,,
125,cliftha01,Harlond Clift,0.0,0.145,0.4,0.395,0.405,0.395,0.43,0.445,0.445,0.445,0.445,0.445,,,,,,,,,,,,,
126,cobbty01,Ty Cobb,0.0,0.0,0.42,0.42,0.425,0.56,0.61,0.69,0.685,0.685,0.675,0.665,0.665,0.655,0.65,0.645,0.645,0.645,0.65,0.63,0.625,0.615,0.615,0.62,
127,cochrmi01,Mickey Cochrane,0.0,0.02,0.23,0.385,0.38,0.405,0.405,0.445,0.45,0.45,0.445,0.445,0.445,,,,,,,,,,,,
128,colavro01,Rocky Colavito,0.0,0.0,0.14,0.41,0.43,0.42,0.435,0.435,0.435,0.44,0.47,0.47,0.47,0.47,,,,,,,,,,,
129,collied01,Eddie Collins,0.0,0.0,0.0,0.415,0.425,0.425,0.48,0.54,0.69,0.695,0.69,0.68,0.68,0.68,0.675,0.685,0.685,0.68,0.67,0.685,0.69,0.685,,,
130,colliji01,Jimmy Collins,0.0,0.03,0.305,0.435,0.445,0.45,0.45,0.44,0.455,0.46,0.5,0.495,0.49,0.485,,,,,,,,,,,
131,combsea01,Earle Combs,0.0,0.125,0.18,0.405,0.405,0.405,0.405,0.455,0.47,0.47,0.47,0.47,,,,,,,,,,,,,
132,conceda01,Dave Concepción,0.0,0.0,0.0,0.11,0.385,0.41,0.425,0.425,0.435,0.435,0.435,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,,,,,,
133,connoro01,Roger Connor,0.0,0.12,0.355,0.4,0.415,0.43,0.49,0.53,0.51,0.54,0.54,0.575,0.58,0.58,0.575,0.605,0.605,,,,,,,,
134,coopece01,Cecil Cooper,0.0,0.0,0.0,0.0,0.0,0.12,0.2,0.395,0.385,0.42,0.42,0.43,0.44,0.43,0.43,0.43,0.43,,,,,,,,
135,coopewa01,Walker Cooper,0.0,0.0,0.0,0.12,0.285,0.285,0.39,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.415,0.415,0.415,,,,,,,
136,correca01,Carlos Correa,0.135,0.42,0.43,0.425,0.425,0.445,0.44,,,,,,,,,,,,,,,,,,
137,crandde01,Del Crandall,0.0,0.0,0.0,0.09,0.135,0.22,0.4,0.41,0.425,0.435,0.435,0.435,0.435,0.435,0.435,0.435,,,,,,,,,
138,cravaga01,Gavvy Cravath,0.0,0.0,0.025,0.42,0.405,0.41,0.42,0.445,0.435,0.455,0.45,,,,,,,,,,,,,,
139,crawfbr01,Brandon Crawford,0.0,0.0,0.115,0.22,0.415,0.425,0.425,0.425,0.425,0.425,0.425,,,,,,,,,,,,,,
140,crawfca02,Carl Crawford,0.0,0.01,0.275,0.41,0.435,0.425,0.435,0.435,0.43,0.44,0.44,0.44,0.44,0.44,0.44,,,,,,,,,,
141,crawfsa01,Sam Crawford,0.18,0.415,0.405,0.4,0.405,0.405,0.455,0.47,0.455,0.455,0.46,0.45,0.515,0.56,0.56,0.56,0.56,,,,,,,,
142,crispco01,Coco Crisp,0.0,0.0,0.115,0.26,0.265,0.41,0.41,0.41,0.4,0.4,0.4,0.415,0.4,0.4,0.395,,,,,,,,,,
143,cronijo01,Joe Cronin,0.0,0.0,0.0,0.12,0.415,0.425,0.415,0.43,0.455,0.475,0.475,0.485,0.475,0.475,0.47,0.485,0.485,0.48,0.48,0.585,,,,,
144,crossla01,Lave Cross,0.015,0.125,0.43,0.44,0.44,0.435,0.435,0.435,0.435,0.435,0.45,0.44,0.44,0.44,0.44,0.44,,,,,,,,,
145,cruzjo01,José Cruz,0.0,0.0,0.0,0.0,0.02,0.12,0.38,0.41,0.42,0.42,0.435,0.435,0.435,0.435,0.44,0.43,0.43,0.43,0.43,,,,,,
146,cruzne02,Nelson Cruz,0.0,0.0,0.0,0.0,0.015,0.23,0.295,0.385,0.375,0.395,0.4,0.4,0.415,0.425,0.43,0.5,0.535,,,,,,,,
147,cuccito01,Tony Cuccinello,0.0,0.21,0.41,0.41,0.4,0.4,0.4,0.405,0.405,0.405,0.41,0.41,0.41,0.41,0.41,,,,,,,,,,
148,cullero01,Roy Cullenbine,0.0,0.0,0.0,0.185,0.305,0.39,0.39,0.39,0.4,0.415,,,,,,,,,,,,,,,
149,cuyleki01,Kiki Cuyler,0.0,0.0,0.165,0.415,0.42,0.41,0.415,0.415,0.43,0.46,0.46,0.46,0.475,0.475,0.475,0.46,0.46,,,,,,,,
150,dahlebi01,Bill Dahlen,0.015,0.295,0.395,0.405,0.42,0.43,0.43,0.45,0.465,0.465,0.465,0.475,0.47,0.495,0.53,0.535,0.53,0.53,0.53,0.54,,,,,
151,dalyto01,Tom Daly,0.0,0.0,0.0,0.015,0.02,0.12,0.275,0.375,0.375,0.38,0.38,0.39,0.395,0.405,0.405,0.405,,,,,,,,,
152,damonjo01,Johnny Damon,0.0,0.0,0.015,0.12,0.4,0.395,0.41,0.415,0.42,0.405,0.435,0.44,0.44,0.455,0.46,0.505,0.505,0.505,,,,,,,
153,darkal01,Al Dark,0.135,0.165,0.405,0.41,0.41,0.42,0.45,0.45,0.45,0.45,0.44,0.44,0.44,,,,,,,,,,,,
154,daubeja01,Jake Daubert,0.0,0.145,0.27,0.4,0.375,0.38,0.39,0.38,0.38,0.39,0.4,0.39,0.39,0.4,0.405,,,,,,,,,,
