Player,H_ymax,HR_ymax,R_ymax,RBI_ymax,BA_ymax,WAR_best_7,WAR_7,oWAR_7,oWAR_best_7,RAR_best_7,RAR_max,AS,MVP,RAR,WAR,oWAR,Rfield
belljo02,0,0,0,1,0,2.5999999999999996,2.5999999999999996,6.1,6.1,37,30,1,0,37,2.5999999999999996,6.1,-29
beltbr01,0,0,0,0,0,22.5,21.4,16.8,18.2,225,42,1,1,258,25.400000000000002,20.900000000000002,44
beltrad01,1,1,0,0,3,48.800000000000004,43.6,36.7,40.199999999999996,477,98,4,6,933,93.7,71.60000000000001,216
beltrca01,0,0,3,0,0,44.4,40.5,37.6,40.3,463,87,9,6,725,70.3,66.8,38
beninan01,0,0,0,0,0,10.6,10.6,8.799999999999999,8.799999999999999,103,46,0,0,103,10.6,8.799999999999999,16
bertijo01,0,0,0,0,0,2.4,2.4,2.7,2.7,27,17,0,0,27,2.4,2.7,-1
bethach01,0,0,0,0,0,-0.5,-0.5,-0.7,-0.7,-2,0,0,0,-2,-0.5,-0.7,2
bettsmo01,2,0,4,0,2,45.9,45.9,32.8,32.800000000000004,451,106,4,6,462,47.0,33.9,125
bichebo01,0,0,0,0,0,4.6,4.6,4.1000000000000005,4.1000000000000005,46,24,0,0,46,4.6,4.1000000000000005,4
biggica01,0,0,0,0,0,4.8,4.8,5.3,5.3,48,30,0,0,48,4.8,5.3,-6
birdgr01,0,0,0,0,0,0.49999999999999994,0.49999999999999994,1.0,1.0,5,7,0,0,5,0.49999999999999994,1.0,-5
blackch02,2,0,3,0,3,18.299999999999997,18.299999999999997,25.1,25.1,200,58,4,2,203,18.299999999999997,25.0,-57
blancan01,0,0,0,0,0,3.1,1.8,3.0,3.6000000000000005,33,15,0,0,20,1.6,2.5000000000000004,-8
blancgr01,0,0,0,0,0,9.3,9.3,8.0,8.4,97,26,0,0,82,7.300000000000002,7.5,1
bogaexa01,3,0,1,1,1,24.700000000000003,24.7,29.7,29.700000000000003,245,65,2,3,255,25.7,31.9,-62
bonifem01,0,0,0,0,0,5.9,5.200000000000001,5.6,5.800000000000001,62,27,0,0,39,3.2000000000000006,3.9,-8
bonifjo01,0,0,0,0,0,-0.3,-0.3,0.9000000000000001,0.9000000000000001,-3,4,0,0,-3,-0.3,0.9000000000000001,-13
borboju01,0,0,0,0,0,1.8,1.8,1.5999999999999999,1.5999999999999999,19,15,0,0,19,1.8,1.5999999999999999,2
boteda01,0,0,0,0,0,3.3,3.3,2.5,2.5,36,24,0,0,36,3.3,2.5,9
bourjpe01,0,0,0,0,0,10.8,9.4,5.3,5.7,107,48,0,0,99,9.7,4.4,51
bourju01,0,0,0,0,0,4.000000000000001,4.000000000000001,5.4,5.4,46,26,0,0,46,4.000000000000001,5.4,-13
bournmi01,1,0,0,0,0,23.599999999999998,22.9,15.599999999999998,16.400000000000002,232,57,2,1,232,23.0,15.4,69
bradlja02,0,0,0,0,0,18.599999999999998,18.599999999999998,13.0,13.3,181,56,1,0,180,18.3,11.899999999999999,59
brantmi02,1,0,0,0,3,28.1,24.7,21.6,25.2,269,65,4,2,303,31.5,28.900000000000002,20
braunry02,1,1,1,0,2,38.699999999999996,34.8,35.8,38.0,385,74,6,7,482,47.2,50.400000000000006,-29
