Player.Name,Period.Name,Position.Name,Total.Player.Load,Player.Load.Per.Minute,Maximum.Heart.Rate,Minimum.Heart.Rate,Avg.Heart.Rate,Date
10,Group 1 21,D,5.22906,18.17749,156,133,147.10405,8/6/2019
97,Group 1 21,F,4.39235,15.26888,0,0,0,8/6/2019
34,Group 1 21,M,5.85067,20.33836,189,184,186.38728,8/6/2019
43,Group 1 21,M,6.10111,21.20896,195,181,189.9711,8/6/2019
52,Group 1 21,D,6.15605,21.39995,195,190,192.3237,8/6/2019
12,Group 1 22,D,5.20363,17.53048,198,170,185.25843,8/6/2019
89,Group 1 22,GK,4.51119,15.19772,193,185,188.61236,8/6/2019
15,Group 1 22,D,6.10044,20.55174,195,183,189.78652,8/6/2019
35,Group 1 22,F,5.33866,17.98539,0,0,0,8/6/2019
62,Group 1 22,F,6.37368,21.47227,185,185,185,8/6/2019
10,Group 1 22,D,5.35887,18.05348,176,0,162.05882,8/6/2019
97,Group 1 22,F,4.46454,15.04057,0,0,0,8/6/2019
34,Group 1 22,M,5.79736,19.5307,189,184,185.90449,8/6/2019
43,Group 1 22,M,6.18958,20.85205,195,0,186.47701,8/6/2019
52,Group 1 22,D,5.90584,19.89613,195,190,192.64607,8/6/2019
12,Group 1 23,D,5.28526,17.80549,194,0,183.67797,8/6/2019
89,Group 1 23,GK,4.5972,15.48747,195,184,190.86034,8/6/2019
15,Group 1 23,D,6.17176,20.79202,205,189,195.46369,8/6/2019
35,Group 1 23,F,5.50409,18.54271,0,0,0,8/6/2019
62,Group 1 23,F,6.2978,21.21661,185,185,185,8/6/2019
10,Group 1 23,D,5.25599,17.70687,189,154,175.42458,8/6/2019
97,Group 1 23,F,4.50172,15.16582,0,0,0,8/6/2019
34,Group 1 23,M,5.85255,19.71664,189,184,186.67416,8/6/2019
43,Group 1 23,M,6.10727,20.57475,216,189,202.36872,8/6/2019
52,Group 1 23,D,6.28632,21.17793,196,190,192.32402,8/6/2019
12,Group 1 24,D,5.36492,17.80394,195,172,179.48333,8/6/2019
89,Group 1 24,GK,4.74431,15.74438,193,174,186.78889,8/6/2019
15,Group 1 24,D,6.15861,20.43788,198,184,191.35556,8/6/2019
35,Group 1 24,F,5.63293,18.69334,0,0,0,8/6/2019
62,Group 1 24,F,6.51827,21.63144,185,185,185,8/6/2019
10,Group 1 24,D,5.47839,18.18051,186,0,182.73714,8/6/2019
97,Group 1 24,F,4.54711,15.08997,0,0,0,8/6/2019
34,Group 1 24,M,5.89701,19.56973,189,184,187.11602,8/6/2019
43,Group 1 24,M,6.04669,20.06646,201,0,185.85955,8/6/2019
52,Group 1 24,D,6.21568,20.62725,195,191,193.53333,8/6/2019
12,Group 1 25,D,5.35715,17.51656,194,0,179.69492,8/6/2019
89,Group 1 25,GK,4.73278,15.47504,193,187,191.42391,8/6/2019
15,Group 1 25,D,6.3982,20.92054,211,181,197.09783,8/6/2019
35,Group 1 25,F,5.52769,18.07419,0,0,0,8/6/2019
62,Group 1 25,F,6.3463,20.75084,185,185,185,8/6/2019
10,Group 1 25,D,5.60026,18.31147,189,168,181.86957,8/6/2019
97,Group 1 25,F,4.46032,14.58416,0,0,0,8/6/2019
34,Group 1 25,M,5.81711,19.02052,189,185,187.66848,8/6/2019
43,Group 1 25,M,6.23892,20.39973,195,174,182.27717,8/6/2019
52,Group 1 25,D,6.32299,20.67464,195,189,194.1087,8/6/2019
12,Group 1 26,D,5.28953,19.30484,187,169,175.56098,8/6/2019
89,Group 1 26,GK,4.6926,17.12626,192,177,187.53049,8/6/2019
15,Group 1 26,D,6.10639,22.28611,205,184,193.2439,8/6/2019
35,Group 1 26,F,5.5485,20.24998,0,0,0,8/6/2019
62,Group 1 26,F,6.23047,22.73896,185,185,185,8/6/2019
10,Group 1 26,D,5.3242,19.4314,200,179,192.81098,8/6/2019
97,Group 1 26,F,4.42422,16.14681,0,0,0,8/6/2019
34,Group 1 26,M,5.8951,21.51495,189,185,188.13415,8/6/2019
43,Group 1 26,M,6.27114,22.88738,196,0,186.87578,8/6/2019
52,Group 1 26,D,6.48917,23.6831,195,193,194.38415,8/6/2019
12,Group 1 27,D,5.20155,17.66231,177,0,172.43275,8/6/2019
89,Group 1 27,GK,4.52668,15.37073,195,186,191.55932,8/6/2019
15,Group 1 27,D,6.3821,21.67098,202,194,198.55932,8/6/2019
35,Group 1 27,F,5.57101,18.91683,0,0,0,8/6/2019
62,Group 1 27,F,6.57355,22.32105,185,185,185,8/6/2019
10,Group 1 27,D,5.28781,17.95521,190,0,182.89205,8/6/2019
97,Group 1 27,F,4.38402,14.88632,0,0,0,8/6/2019
34,Group 1 27,M,5.7904,19.66181,189,187,188.02825,8/6/2019
43,Group 1 27,M,6.32193,21.46665,195,181,188.24294,8/6/2019
52,Group 1 27,D,6.52594,22.15939,195,193,194.67232,8/6/2019
12,Group 1 28,D,5.54035,18.3861,191,0,182.00617,8/6/2019
89,Group 1 28,GK,5.73289,19.02508,199,186,193.07182,8/6/2019
15,Group 1 28,D,6.75718,22.42428,214,193,201.12707,8/6/2019
35,Group 1 28,F,5.71637,18.97026,0,0,0,8/6/2019
62,Group 1 28,F,6.37978,21.17185,185,185,185,8/6/2019
10,Group 1 28,D,5.50712,18.27584,179,149,159.44751,8/6/2019
97,Group 1 28,F,4.67897,15.52757,0,0,0,8/6/2019
34,Group 1 28,M,6.16522,20.4598,189,184,188.50829,8/6/2019
