tricode,pp,pk,ppgf,competition_name,tid,type,win,goals_for,goals_against,game_count,team_name,win_pct,avg_gf,avg_ga
SJS,299,326,61.0,2014 NHL Regular Season,16,2,39,230.0,238.0,81,San Jose Sharks,0.48148148148148145,2.8395061728395063,2.9382716049382718
STL,347,332,63.0,2014 NHL Regular Season,7,2,49,243.0,199.0,79,St. Louis Blues,0.620253164556962,3.0759493670886076,2.518987341772152
TBL,318,349,56.0,2014 NHL Regular Season,25,2,48,256.0,211.0,80,Tampa Bay Lightning,0.6,3.2,2.6375
TOR,319,343,54.0,2014 NHL Regular Season,1,2,29,209.0,258.0,78,Toronto Maple Leafs,0.3717948717948718,2.6794871794871793,3.3076923076923075
VAN,351,316,52.0,2014 NHL Regular Season,53,2,48,243.0,215.0,80,Vancouver Canucks,0.6,3.0375,2.6875
WPG,407,361,52.0,2014 NHL Regular Season,4,2,41,229.0,212.0,80,Winnipeg Jets,0.5125,2.8625,2.65
WSH,351,328,75.0,2014 NHL Regular Season,5,2,45,251.0,209.0,81,Washington Capitals,0.5555555555555556,3.0987654320987654,2.580246913580247
ANA,29,28,4.0,2015 NHL Playoff,21,3,3,18.0,14.0,7,Anaheim Ducks,0.42857142857142855,2.5714285714285716,2.0
CHI,26,26,6.0,2015 NHL Playoff,6,3,3,20.0,19.0,7,Chicago Blackhawks,0.42857142857142855,2.857142857142857,2.7142857142857144
DAL,46,48,6.0,2015 NHL Playoff,46,3,7,35.0,42.0,13,Dallas Stars,0.5384615384615384,2.6923076923076925,3.230769230769231
DET,35,37,3.0,2015 NHL Playoff,18,3,1,8.0,12.0,5,Detroit Red Wings,0.2,1.6,2.4
FLA,24,16,2.0,2015 NHL Playoff,45,3,2,14.0,15.0,6,Florida Panthers,0.3333333333333333,2.3333333333333335,2.5
LAK,22,15,3.0,2015 NHL Playoff,41,3,1,11.0,16.0,5,Los Angeles Kings,0.2,2.2,3.2
MIN,23,19,4.0,2015 NHL Playoff,35,3,2,17.0,21.0,6,Minnesota Wild,0.3333333333333333,2.8333333333333335,3.5
NSH,57,53,4.0,2015 NHL Playoff,19,3,7,31.0,43.0,14,Nashville Predators,0.5,2.2142857142857144,3.0714285714285716
